"hospital","year","variable","value"
"whitesburg arh hospital",2006,"licensed_psych_beds",0
"williamson arh hospital",2006,"licensed_psych_beds",0
"baptist hospital east",2007,"licensed_psych_beds",22
"baptist hospital northeast",2007,"licensed_psych_beds",0
"baptist regional medical center",2007,"licensed_psych_beds",34
"bourbon community hospital",2007,"licensed_psych_beds",25
"central baptist hospital",2007,"licensed_psych_beds",0
"central state hospital",2007,"licensed_psych_beds",192
"clark regional medical center",2007,"licensed_psych_beds",0
"clinton county hospital",2007,"licensed_psych_beds",0
"crittenden county hospital",2007,"licensed_psych_beds",0
"cumberland hall",2007,"licensed_psych_beds",48
"eastern state hospital",2007,"licensed_psych_beds",323
"ephraim mcdowell reg medical ctr",2007,"licensed_psych_beds",38
"flaget memorial hospital",2007,"licensed_psych_beds",0
"fleming county hospital",2007,"licensed_psych_beds",0
"frankfort regional medical center",2007,"licensed_psych_beds",0
"georgetown community hospital",2007,"licensed_psych_beds",0
"greenview regional hospital",2007,"licensed_psych_beds",0
"hardin memorial hospital",2007,"licensed_psych_beds",15
"harlan arh hospital",2007,"licensed_psych_beds",30
"harrison memorial hospital",2007,"licensed_psych_beds",0
"hazard arh regional medical center",2007,"licensed_psych_beds",100
"highlands regional medical center",2007,"licensed_psych_beds",12
"jackson purchase medical center",2007,"licensed_psych_beds",0
"jennie stuart medical center",2007,"licensed_psych_beds",0
"jewish hospital",2007,"licensed_psych_beds",0
"jewish hospital shelbyville",2007,"licensed_psych_beds",0
"kentucky correctional psychiatric ctr",2007,"licensed_psych_beds",97
"kentucky river medical center",2007,"licensed_psych_beds",0
"kings daughters medical center",2007,"licensed_psych_beds",27
"lake cumberland regional hospital",2007,"licensed_psych_beds",34
"lincoln trail behavioral health system",2007,"licensed_psych_beds",87
"logan memorial hospital",2007,"licensed_psych_beds",0
"lourdes hospital",2007,"licensed_psych_beds",45
"marymount medical center",2007,"licensed_psych_beds",0
"meadowview regional medical center",2007,"licensed_psych_beds",0
"memorial hospital",2007,"licensed_psych_beds",0
"methodist hospital",2007,"licensed_psych_beds",8
"middlesboro arh hospital",2007,"licensed_psych_beds",0
"monroe county medical center",2007,"licensed_psych_beds",0
"muhlenberg community hospital",2007,"licensed_psych_beds",0
"murray calloway county hospital",2007,"licensed_psych_beds",0
"northkey community care intensive",2007,"licensed_psych_beds",51
"norton audubon hospital",2007,"licensed_psych_beds",0
"norton hsp/kosair chdrn hsp/norton",2007,"licensed_psych_beds",66
"norton suburban hospital",2007,"licensed_psych_beds",0
"our lady of bellefonte hospital",2007,"licensed_psych_beds",16
"our lady of peace",2007,"licensed_psych_beds",416
"owensboro medical health system",2007,"licensed_psych_beds",12
"parkway regional hospital",2007,"licensed_psych_beds",0
"pattie a clay regional medical ctr",2007,"licensed_psych_beds",0
"paul b hall regional medical center",2007,"licensed_psych_beds",0
"pikeville medical center",2007,"licensed_psych_beds",0
"pineville community hospital",2007,"licensed_psych_beds",0
"regional medical center of hopkins co",2007,"licensed_psych_beds",22
"ridge behavioral health system",2007,"licensed_psych_beds",90
"rivendell behavioral health services",2007,"licensed_psych_beds",84
"river valley behavioral health",2007,"licensed_psych_beds",80
"rockcastle hospital",2007,"licensed_psych_beds",0
"saint joseph east",2007,"licensed_psych_beds",0
"saint joseph hospital",2007,"licensed_psych_beds",0
"saints mary and elizabeth hospital",2007,"licensed_psych_beds",0
"shriners hosp for children",2007,"licensed_psych_beds",0
"spring view hospital",2007,"licensed_psych_beds",0
"st claire medical center",2007,"licensed_psych_beds",20
"st elizabeth medical center north",2007,"licensed_psych_beds",8
"st elizabeth medical center south",2007,"licensed_psych_beds",44
"st joseph mount sterling hosp",2007,"licensed_psych_beds",7
"st luke hospital east",2007,"licensed_psych_beds",0
"st luke hospital west",2007,"licensed_psych_beds",22
"t j samson community hospital",2007,"licensed_psych_beds",0
"taylor regional hospital",2007,"licensed_psych_beds",0
"ten broeck dupont",2007,"licensed_psych_beds",54
"ten broeck hospital",2007,"licensed_psych_beds",82
"the medical center at bowling green",2007,"licensed_psych_beds",36
"three rivers medical center",2007,"licensed_psych_beds",19
"twin lakes regional medical center",2007,"licensed_psych_beds",0
"ukhealthcare good samaritan hospital",2007,"licensed_psych_beds",43
"university of ky hospital",2007,"licensed_psych_beds",17
"university of louisville hospital",2007,"licensed_psych_beds",40
"western baptist hospital",2007,"licensed_psych_beds",0
"western state hospital",2007,"licensed_psych_beds",495
"westlake regional hospital",2007,"licensed_psych_beds",28
"whitesburg arh hospital",2007,"licensed_psych_beds",0
"williamson arh hospital",2007,"licensed_psych_beds",0
"baptist hospital east",2008,"licensed_psych_beds",22
"baptist hospital northeast",2008,"licensed_psych_beds",0
"baptist regional medical center",2008,"licensed_psych_beds",44
"bourbon community hospital",2008,"licensed_psych_beds",25
"central baptist hospital",2008,"licensed_psych_beds",0
"central state hospital",2008,"licensed_psych_beds",192
"clark regional medical center",2008,"licensed_psych_beds",0
"clinton county hospital",2008,"licensed_psych_beds",0
"crittenden county hospital",2008,"licensed_psych_beds",0
"cumberland hall",2008,"licensed_psych_beds",52
"eastern state hospital",2008,"licensed_psych_beds",323
"ephraim mcdowell reg medical ctr",2008,"licensed_psych_beds",38
"flaget memorial hospital",2008,"licensed_psych_beds",0
"fleming county hospital",2008,"licensed_psych_beds",0
"frankfort regional medical center",2008,"licensed_psych_beds",0
"georgetown community hospital",2008,"licensed_psych_beds",0
"greenview regional hospital",2008,"licensed_psych_beds",0
"hardin memorial hospital",2008,"licensed_psych_beds",15
"harlan arh hospital",2008,"licensed_psych_beds",20
"harrison memorial hospital",2008,"licensed_psych_beds",0
"hazard arh regional medical center",2008,"licensed_psych_beds",100
"highlands regional medical center",2008,"licensed_psych_beds",12
"jackson purchase medical center",2008,"licensed_psych_beds",0
"jennie stuart medical center",2008,"licensed_psych_beds",0
"jewish hospital",2008,"licensed_psych_beds",20
"jewish hospital shelbyville",2008,"licensed_psych_beds",0
"kentucky correctional psychiatric ctr",2008,"licensed_psych_beds",97
"kentucky river medical center",2008,"licensed_psych_beds",0
"kings daughters medical center",2008,"licensed_psych_beds",27
"lake cumberland regional hospital",2008,"licensed_psych_beds",34
"lincoln trail behavioral health system",2008,"licensed_psych_beds",87
"logan memorial hospital",2008,"licensed_psych_beds",0
"lourdes hospital",2008,"licensed_psych_beds",45
"meadowview regional medical center",2008,"licensed_psych_beds",0
"memorial hospital",2008,"licensed_psych_beds",0
"methodist hospital",2008,"licensed_psych_beds",8
"middlesboro arh hospital",2008,"licensed_psych_beds",0
"monroe county medical center",2008,"licensed_psych_beds",0
"muhlenberg community hospital",2008,"licensed_psych_beds",0
"murray calloway county hospital",2008,"licensed_psych_beds",0
"northkey community care intensive serv",2008,"licensed_psych_beds",51
"norton audubon hospital",2008,"licensed_psych_beds",0
"norton hsp/kosair chdrn hsp/norton",2008,"licensed_psych_beds",66
"norton suburban hospital",2008,"licensed_psych_beds",0
"our lady of bellefonte hospital",2008,"licensed_psych_beds",16
"our lady of peace",2008,"licensed_psych_beds",396
"owensboro medical health system",2008,"licensed_psych_beds",12
"parkway regional hospital",2008,"licensed_psych_beds",0
"pattie a clay regional medical ctr",2008,"licensed_psych_beds",0
"paul b hall regional medical center",2008,"licensed_psych_beds",0
"pikeville medical center",2008,"licensed_psych_beds",0
"pineville community hospital",2008,"licensed_psych_beds",0
"regional medical center of hopkins co",2008,"licensed_psych_beds",22
"ridge behavioral health system",2008,"licensed_psych_beds",90
"rivendell behavioral health services",2008,"licensed_psych_beds",125
"river valley behavioral health",2008,"licensed_psych_beds",80
"rockcastle hospital",2008,"licensed_psych_beds",0
"saint joseph east",2008,"licensed_psych_beds",0
"saint joseph hospital",2008,"licensed_psych_beds",0
"saint joseph hospital london",2008,"licensed_psych_beds",0
"saints mary and elizabeth hospital",2008,"licensed_psych_beds",0
"shriners hosp for children",2008,"licensed_psych_beds",0
"spring view hospital",2008,"licensed_psych_beds",0
"st claire medical center",2008,"licensed_psych_beds",20
"st elizabeth medical center south",2008,"licensed_psych_beds",44
"st joseph mount sterling hosp",2008,"licensed_psych_beds",7
"st luke hospital east",2008,"licensed_psych_beds",0
"st luke hospital west",2008,"licensed_psych_beds",22
"t j samson community hospital",2008,"licensed_psych_beds",0
"taylor regional hospital",2008,"licensed_psych_beds",0
"ten broeck dupont",2008,"licensed_psych_beds",54
"ten broeck hospital",2008,"licensed_psych_beds",82
"the medical center at bowling green",2008,"licensed_psych_beds",36
"three rivers medical center",2008,"licensed_psych_beds",19
"twin lakes regional medical center",2008,"licensed_psych_beds",0
"ukhealthcare good samaritan hospital",2008,"licensed_psych_beds",31
"university of ky hospital",2008,"licensed_psych_beds",17
"university of louisville hospital",2008,"licensed_psych_beds",40
"western baptist hospital",2008,"licensed_psych_beds",0
"western state hospital",2008,"licensed_psych_beds",495
"westlake regional hospital",2008,"licensed_psych_beds",28
"whitesburg arh hospital",2008,"licensed_psych_beds",0
"williamson arh hospital",2008,"licensed_psych_beds",0
"baptist hospital east",2009,"licensed_psych_beds",22
"baptist hospital northeast",2009,"licensed_psych_beds",0
"baptist regional medical center",2009,"licensed_psych_beds",44
"bourbon community hospital",2009,"licensed_psych_beds",25
"central baptist hospital",2009,"licensed_psych_beds",0
"central state hospital",2009,"licensed_psych_beds",192
"clark regional medical center",2009,"licensed_psych_beds",0
"clinton county hospital",2009,"licensed_psych_beds",0
"crittenden health system",2009,"licensed_psych_beds",0
"cumberland hall",2009,"licensed_psych_beds",56
"eastern state hospital",2009,"licensed_psych_beds",323
"ephraim mcdowell reg medical ctr",2009,"licensed_psych_beds",38
"flaget memorial hospital",2009,"licensed_psych_beds",0
"fleming county hospital",2009,"licensed_psych_beds",0
"frankfort regional medical center",2009,"licensed_psych_beds",0
"georgetown community hospital",2009,"licensed_psych_beds",0
"greenview regional hospital",2009,"licensed_psych_beds",0
"hardin memorial hospital",2009,"licensed_psych_beds",15
"harlan arh hospital",2009,"licensed_psych_beds",30
"harrison memorial hospital",2009,"licensed_psych_beds",0
"hazard arh regional medical center",2009,"licensed_psych_beds",100
"highlands regional medical center",2009,"licensed_psych_beds",12
"jackson purchase medical center",2009,"licensed_psych_beds",0
"jennie stuart medical center",2009,"licensed_psych_beds",0
"jewish hospital",2009,"licensed_psych_beds",20
"jewish hospital shelbyville",2009,"licensed_psych_beds",0
"kentucky correctional psychiatric ctr",2009,"licensed_psych_beds",97
"kentucky river medical center",2009,"licensed_psych_beds",0
"kings daughters medical center",2009,"licensed_psych_beds",27
"lake cumberland regional hospital",2009,"licensed_psych_beds",34
"lincoln trail behavioral health system",2009,"licensed_psych_beds",87
"logan memorial hospital",2009,"licensed_psych_beds",0
"lourdes hospital",2009,"licensed_psych_beds",45
"meadowview regional medical center",2009,"licensed_psych_beds",0
"memorial hospital",2009,"licensed_psych_beds",0
"methodist hospital",2009,"licensed_psych_beds",8
"middlesboro arh hospital",2009,"licensed_psych_beds",0
"monroe county medical center",2009,"licensed_psych_beds",0
"muhlenberg community hospital",2009,"licensed_psych_beds",0
"murray calloway county hospital",2009,"licensed_psych_beds",0
"northkey community care intensive serv",2009,"licensed_psych_beds",51
"norton audubon hospital",2009,"licensed_psych_beds",0
"norton brownsboro hospital",2009,"licensed_psych_beds",0
"norton suburban hospital",2009,"licensed_psych_beds",0
"our lady of bellefonte hospital",2009,"licensed_psych_beds",16
"our lady of peace",2009,"licensed_psych_beds",396
"owensboro medical health system",2009,"licensed_psych_beds",12
"parkway regional hospital",2009,"licensed_psych_beds",0
"pattie a clay regional medical ctr",2009,"licensed_psych_beds",0
"paul b hall regional medical center",2009,"licensed_psych_beds",0
"pikeville medical center",2009,"licensed_psych_beds",0
"pineville community hospital",2009,"licensed_psych_beds",0
"regional medical center of hopkins co",2009,"licensed_psych_beds",22
"ridge behavioral health system",2009,"licensed_psych_beds",90
"rivendell behavioral health services",2009,"licensed_psych_beds",125
"river valley behavioral health",2009,"licensed_psych_beds",80
"rockcastle hospital",2009,"licensed_psych_beds",0
"saint joseph east",2009,"licensed_psych_beds",0
"saint joseph hospital",2009,"licensed_psych_beds",0
"saint joseph hospital london",2009,"licensed_psych_beds",0
"saints mary and elizabeth hospital",2009,"licensed_psych_beds",0
"shriners hosp for children",2009,"licensed_psych_beds",0
"spring view hospital",2009,"licensed_psych_beds",0
"st claire medical center",2009,"licensed_psych_beds",20
"st elizabeth florance",2009,"licensed_psych_beds",22
"st elizabeth ft thomas",2009,"licensed_psych_beds",0
"st elizabeth medical center south",2009,"licensed_psych_beds",44
"st joseph mount sterling hosp",2009,"licensed_psych_beds",7
"t j samson community hospital",2009,"licensed_psych_beds",0
"taylor regional hospital",2009,"licensed_psych_beds",0
"the brook hospital",2009,"licensed_psych_beds",82
"the brook hospital dupont",2009,"licensed_psych_beds",54
"the medical center at bowling green",2009,"licensed_psych_beds",36
"three rivers medical center",2009,"licensed_psych_beds",19
"twin lakes regional medical center",2009,"licensed_psych_beds",0
"ukhealthcare good samaritan hospital",2009,"licensed_psych_beds",31
"university of ky hospital",2009,"licensed_psych_beds",0
"university of louisville hospital",2009,"licensed_psych_beds",20
"western baptist hospital",2009,"licensed_psych_beds",0
"western state hospital",2009,"licensed_psych_beds",495
"westlake regional hospital",2009,"licensed_psych_beds",28
"whitesburg arh hospital",2009,"licensed_psych_beds",0
"williamson arh hospital",2009,"licensed_psych_beds",0
"baptist hospital east",2010,"licensed_psych_beds",22
"baptist hospital northeast",2010,"licensed_psych_beds",0
"baptist regional medical center",2010,"licensed_psych_beds",44
"bourbon community hospital",2010,"licensed_psych_beds",25
"central baptist hospital",2010,"licensed_psych_beds",0
"central state hospital",2010,"licensed_psych_beds",192
"clark regional medical center",2010,"licensed_psych_beds",0
"clinton county hospital",2010,"licensed_psych_beds",0
"crittenden health system",2010,"licensed_psych_beds",0
"cumberland hall",2010,"licensed_psych_beds",56
"eastern state hospital",2010,"licensed_psych_beds",323
"ephraim mcdowell reg medical ctr",2010,"licensed_psych_beds",38
"flaget memorial hospital",2010,"licensed_psych_beds",0
"fleming county hospital",2010,"licensed_psych_beds",0
"frankfort regional medical center",2010,"licensed_psych_beds",0
"georgetown community hospital",2010,"licensed_psych_beds",0
"greenview regional hospital",2010,"licensed_psych_beds",0
"hardin memorial hospital",2010,"licensed_psych_beds",15
"harlan arh hospital",2010,"licensed_psych_beds",30
"harrison memorial hospital",2010,"licensed_psych_beds",0
"hazard arh regional medical center",2010,"licensed_psych_beds",100
"highlands regional medical center",2010,"licensed_psych_beds",12
"jackson purchase medical center",2010,"licensed_psych_beds",0
"jennie stuart medical center",2010,"licensed_psych_beds",0
"jewish hospital & st mary's healthcare",2010,"licensed_psych_beds",20
"jewish hospital shelbyville",2010,"licensed_psych_beds",0
"kentucky correctional psychiatric ctr",2010,"licensed_psych_beds",97
"kentucky river medical center",2010,"licensed_psych_beds",0
"kings daughters medical center",2010,"licensed_psych_beds",27
"lake cumberland regional hospital",2010,"licensed_psych_beds",34
"lincoln trail behavioral health system",2010,"licensed_psych_beds",87
"logan memorial hospital",2010,"licensed_psych_beds",0
"lourdes hospital",2010,"licensed_psych_beds",45
"meadowview regional medical center",2010,"licensed_psych_beds",0
"memorial hospital",2010,"licensed_psych_beds",0
"methodist hospital",2010,"licensed_psych_beds",8
"middlesboro arh hospital",2010,"licensed_psych_beds",0
"monroe county medical center",2010,"licensed_psych_beds",0
"muhlenberg community hospital",2010,"licensed_psych_beds",0
"murray calloway county hospital",2010,"licensed_psych_beds",12
"northkey community care intensive",2010,"licensed_psych_beds",51
"norton audubon hospital",2010,"licensed_psych_beds",0
"norton brownsboro hospital",2010,"licensed_psych_beds",0
"norton hsp/kosair chdrn hsp/norton",2010,"licensed_psych_beds",46
"norton suburban hospital",2010,"licensed_psych_beds",0
"our lady of bellefonte hospital",2010,"licensed_psych_beds",16
"our lady of peace",2010,"licensed_psych_beds",396
"owensboro medical health system",2010,"licensed_psych_beds",12
"parkway regional hospital",2010,"licensed_psych_beds",0
"pattie a clay regional medical ctr",2010,"licensed_psych_beds",0
"paul b hall regional medical center",2010,"licensed_psych_beds",0
"pikeville medical center",2010,"licensed_psych_beds",0
"pineville community hospital",2010,"licensed_psych_beds",0
"regional medical center of hopkins co",2010,"licensed_psych_beds",22
"ridge behavioral health system",2010,"licensed_psych_beds",90
"rivendell behavioral health services",2010,"licensed_psych_beds",125
"river valley behavioral health",2010,"licensed_psych_beds",80
"rockcastle hospital",2010,"licensed_psych_beds",0
"saint joseph east",2010,"licensed_psych_beds",0
"saint joseph hospital",2010,"licensed_psych_beds",0
"saint joseph hospital london",2010,"licensed_psych_beds",0
"saints mary and elizabeth hospital",2010,"licensed_psych_beds",0
"shriners hosp for children",2010,"licensed_psych_beds",0
"spring view hospital",2010,"licensed_psych_beds",0
"st claire medical center",2010,"licensed_psych_beds",20
"st elizabeth edgewood",2010,"licensed_psych_beds",44
"st elizabeth florence",2010,"licensed_psych_beds",22
"st elizabeth ft thomas",2010,"licensed_psych_beds",0
"st joseph mount sterling hosp",2010,"licensed_psych_beds",7
"t j samson community hospital",2010,"licensed_psych_beds",0
"taylor regional hospital",2010,"licensed_psych_beds",0
"the brook hospital",2010,"licensed_psych_beds",86
"the brook hospital dupont",2010,"licensed_psych_beds",76
"the medical center at bowling green",2010,"licensed_psych_beds",24
"three rivers medical center",2010,"licensed_psych_beds",19
"twin lakes regional medical center",2010,"licensed_psych_beds",0
"ukhealthcare good samaritan hospital",2010,"licensed_psych_beds",31
"university of ky hospital",2010,"licensed_psych_beds",0
"university of louisville hospital",2010,"licensed_psych_beds",20
"western baptist hospital",2010,"licensed_psych_beds",0
"western state hospital",2010,"licensed_psych_beds",495
"westlake regional hospital",2010,"licensed_psych_beds",28
"whitesburg arh hospital",2010,"licensed_psych_beds",0
"williamson arh hospital",2010,"licensed_psych_beds",0
"baptist hospital east",2011,"licensed_psych_beds",22
"baptist hospital northeast",2011,"licensed_psych_beds",0
"baptist regional medical center",2011,"licensed_psych_beds",44
"bourbon community hospital",2011,"licensed_psych_beds",25
"central baptist hospital",2011,"licensed_psych_beds",0
"central state hospital",2011,"licensed_psych_beds",192
"clark regional medical center",2011,"licensed_psych_beds",0
"clinton county hospital",2011,"licensed_psych_beds",0
"crittenden health system",2011,"licensed_psych_beds",0
"cumberland hall",2011,"licensed_psych_beds",56
"eastern state hospital",2011,"licensed_psych_beds",323
"ephraim mcdowell reg medical ctr",2011,"licensed_psych_beds",38
"flaget memorial hospital",2011,"licensed_psych_beds",0
"fleming county hospital",2011,"licensed_psych_beds",0
"frankfort regional medical center",2011,"licensed_psych_beds",0
"georgetown community hospital",2011,"licensed_psych_beds",0
"greenview regional hospital",2011,"licensed_psych_beds",0
"hardin memorial hospital",2011,"licensed_psych_beds",15
"harlan arh hospital",2011,"licensed_psych_beds",30
"harrison memorial hospital",2011,"licensed_psych_beds",0
"hazard arh regional medical center",2011,"licensed_psych_beds",100
"highlands regional medical center",2011,"licensed_psych_beds",12
"jackson purchase medical center",2011,"licensed_psych_beds",0
"jennie stuart medical center",2011,"licensed_psych_beds",0
"jewish hospital & st mary's healthcare",2011,"licensed_psych_beds",20
"jewish hospital shelbyville",2011,"licensed_psych_beds",0
"kentucky correctional psychiatric ctr",2011,"licensed_psych_beds",97
"kentucky river medical center",2011,"licensed_psych_beds",0
"kings daughters medical center",2011,"licensed_psych_beds",27
"lake cumberland regional hospital",2011,"licensed_psych_beds",34
"lincoln trail behavioral health system",2011,"licensed_psych_beds",111
"logan memorial hospital",2011,"licensed_psych_beds",0
"lourdes hospital",2011,"licensed_psych_beds",45
"meadowview regional medical center",2011,"licensed_psych_beds",0
"memorial hospital",2011,"licensed_psych_beds",0
"methodist hospital",2011,"licensed_psych_beds",8
"middlesboro arh hospital",2011,"licensed_psych_beds",0
"monroe county medical center",2011,"licensed_psych_beds",0
"muhlenberg community hospital",2011,"licensed_psych_beds",0
"murray calloway county hospital",2011,"licensed_psych_beds",12
"northkey community care intensive serv",2011,"licensed_psych_beds",51
"norton audubon hospital",2011,"licensed_psych_beds",0
"norton brownsboro hospital",2011,"licensed_psych_beds",0
"norton hsp/kosair chdrn hsp/norton",2011,"licensed_psych_beds",46
"norton suburban hospital",2011,"licensed_psych_beds",0
"our lady of bellefonte hospital",2011,"licensed_psych_beds",16
"our lady of peace",2011,"licensed_psych_beds",396
"owensboro medical health system",2011,"licensed_psych_beds",12
"parkway regional hospital",2011,"licensed_psych_beds",0
"pattie a clay regional medical ctr",2011,"licensed_psych_beds",0
"paul b hall regional medical center",2011,"licensed_psych_beds",0
"pikeville medical center",2011,"licensed_psych_beds",0
"pineville community hospital",2011,"licensed_psych_beds",0
"regional medical center of hopkins co",2011,"licensed_psych_beds",22
"ridge behavioral health system",2011,"licensed_psych_beds",90
"rivendell behavioral health services",2011,"licensed_psych_beds",125
"river valley behavioral health",2011,"licensed_psych_beds",80
"rockcastle hospital",2011,"licensed_psych_beds",0
"saint joseph east",2011,"licensed_psych_beds",0
"saint joseph hospital",2011,"licensed_psych_beds",0
"saint joseph hospital london",2011,"licensed_psych_beds",0
"saints mary and elizabeth hospital",2011,"licensed_psych_beds",0
"shriners hosp for children",2011,"licensed_psych_beds",0
"spring view hospital",2011,"licensed_psych_beds",0
"st claire medical center",2011,"licensed_psych_beds",20
"st elizabeth edgewood",2011,"licensed_psych_beds",44
"st elizabeth florence",2011,"licensed_psych_beds",22
"st elizabeth ft thomas",2011,"licensed_psych_beds",0
"st joseph mount sterling hosp",2011,"licensed_psych_beds",7
"t j samson community hospital",2011,"licensed_psych_beds",0
"taylor regional hospital",2011,"licensed_psych_beds",0
"the brook hospital",2011,"licensed_psych_beds",86
"the brook hospital dupont",2011,"licensed_psych_beds",76
"the medical center at bowling green",2011,"licensed_psych_beds",24
"three rivers medical center",2011,"licensed_psych_beds",19
"twin lakes regional medical center",2011,"licensed_psych_beds",0
"ukhealthcare good samaritan hospital",2011,"licensed_psych_beds",31
"university of ky hospital",2011,"licensed_psych_beds",0
"university of louisville hospital",2011,"licensed_psych_beds",20
"western baptist hospital",2011,"licensed_psych_beds",0
"western state hospital",2011,"licensed_psych_beds",495
"westlake regional hospital",2011,"licensed_psych_beds",28
"whitesburg arh hospital",2011,"licensed_psych_beds",0
"williamson arh hospital",2011,"licensed_psych_beds",0
"baptist health paducah",2012,"licensed_psych_beds",0
"baptist health richmond",2012,"licensed_psych_beds",0
"baptist hospital east",2012,"licensed_psych_beds",22
"baptist hospital northeast",2012,"licensed_psych_beds",0
"baptist regional medical center",2012,"licensed_psych_beds",44
"bourbon community hospital",2012,"licensed_psych_beds",25
"central baptist hospital",2012,"licensed_psych_beds",0
"central state hospital",2012,"licensed_psych_beds",192
"clark regional medical center",2012,"licensed_psych_beds",0
"clinton county hospital",2012,"licensed_psych_beds",0
"crittenden health system",2012,"licensed_psych_beds",0
"cumberland hall",2012,"licensed_psych_beds",97
"eastern state hospital",2012,"licensed_psych_beds",323
"ephraim mcdowell reg medical ctr",2012,"licensed_psych_beds",38
"flaget memorial hospital",2012,"licensed_psych_beds",0
"fleming county hospital",2012,"licensed_psych_beds",0
"frankfort regional medical center",2012,"licensed_psych_beds",0
"georgetown community hospital",2012,"licensed_psych_beds",0
"greenview regional hospital",2012,"licensed_psych_beds",0
"hardin memorial hospital",2012,"licensed_psych_beds",15
"harlan arh hospital",2012,"licensed_psych_beds",30
"harrison memorial hospital",2012,"licensed_psych_beds",0
"hazard arh regional medical center",2012,"licensed_psych_beds",100
"highlands regional medical center",2012,"licensed_psych_beds",12
"jackson purchase medical center",2012,"licensed_psych_beds",0
"jennie stuart medical center",2012,"licensed_psych_beds",0
"jewish hospital & st mary's healthcare",2012,"licensed_psych_beds",20
"jewish hospital shelbyville",2012,"licensed_psych_beds",0
"kentucky correctional psychiatric ctr",2012,"licensed_psych_beds",97
"kentucky river medical center",2012,"licensed_psych_beds",0
"kings daughters medical center",2012,"licensed_psych_beds",27
"lake cumberland regional hospital",2012,"licensed_psych_beds",34
"lincoln trail behavioral health system",2012,"licensed_psych_beds",111
"logan memorial hospital",2012,"licensed_psych_beds",0
"lourdes hospital",2012,"licensed_psych_beds",45
"meadowview regional medical center",2012,"licensed_psych_beds",0
"memorial hospital",2012,"licensed_psych_beds",0
"methodist hospital",2012,"licensed_psych_beds",8
"middlesboro arh hospital",2012,"licensed_psych_beds",0
"monroe county medical center",2012,"licensed_psych_beds",0
"muhlenberg community hospital",2012,"licensed_psych_beds",0
"murray calloway county hospital",2012,"licensed_psych_beds",12
"northkey community care intensive serv",2012,"licensed_psych_beds",51
"norton audubon hospital",2012,"licensed_psych_beds",0
"norton brownsboro hospital",2012,"licensed_psych_beds",0
"norton hsp/kosair chdrn hsp/norton",2012,"licensed_psych_beds",46
"norton suburban hospital",2012,"licensed_psych_beds",0
"our lady of bellefonte hospital",2012,"licensed_psych_beds",16
"our lady of peace",2012,"licensed_psych_beds",396
"owensboro medical health system",2012,"licensed_psych_beds",12
"parkway regional hospital",2012,"licensed_psych_beds",0
"paul b hall regional medical center",2012,"licensed_psych_beds",0
"pikeville medical center",2012,"licensed_psych_beds",0
"pineville community hospital",2012,"licensed_psych_beds",0
"regional medical center of hopkins co",2012,"licensed_psych_beds",22
"ridge behavioral health system",2012,"licensed_psych_beds",90
"rivendell behavioral health services",2012,"licensed_psych_beds",125
"river valley behavioral health",2012,"licensed_psych_beds",80
"rockcastle hospital",2012,"licensed_psych_beds",0
"saint joseph east",2012,"licensed_psych_beds",0
"saint joseph hospital",2012,"licensed_psych_beds",0
"saint joseph hospital london",2012,"licensed_psych_beds",0
"saints mary and elizabeth hospital",2012,"licensed_psych_beds",0
"shriners hosp for children",2012,"licensed_psych_beds",0
"spring view hospital",2012,"licensed_psych_beds",0
"st claire medical center",2012,"licensed_psych_beds",20
"st elizabeth edgewood",2012,"licensed_psych_beds",44
"st elizabeth florence",2012,"licensed_psych_beds",22
"st elizabeth ft thomas",2012,"licensed_psych_beds",0
"st joseph mount sterling hosp",2012,"licensed_psych_beds",7
"t j samson community hospital",2012,"licensed_psych_beds",0
"taylor regional hospital",2012,"licensed_psych_beds",0
"the brook hospital",2012,"licensed_psych_beds",86
"the brook hospital dupont",2012,"licensed_psych_beds",76
"the medical center at bowling green",2012,"licensed_psych_beds",24
"three rivers medical center",2012,"licensed_psych_beds",19
"twin lakes regional medical center",2012,"licensed_psych_beds",0
"ukhealthcare good samaritan hospital",2012,"licensed_psych_beds",31
"university of ky hospital",2012,"licensed_psych_beds",0
"university of louisville hospital",2012,"licensed_psych_beds",20
"western state hospital",2012,"licensed_psych_beds",495
"westlake regional hospital",2012,"licensed_psych_beds",25
"whitesburg arh hospital",2012,"licensed_psych_beds",0
"williamson arh hospital",2012,"licensed_psych_beds",0
"baptist health corbin",2013,"licensed_psych_beds",44
"baptist health lagrange",2013,"licensed_psych_beds",0
"baptist health louisville",2013,"licensed_psych_beds",22
"baptist health madisonville",2013,"licensed_psych_beds",22
"baptist health paducah",2013,"licensed_psych_beds",0
"baptist health richmond",2013,"licensed_psych_beds",0
"bourbon community hospital",2013,"licensed_psych_beds",25
"central baptist hospital",2013,"licensed_psych_beds",0
"central state hospital",2013,"licensed_psych_beds",192
"clark regional medical center",2013,"licensed_psych_beds",0
"clinton county hospital",2013,"licensed_psych_beds",0
"crittenden health system",2013,"licensed_psych_beds",0
"cumberland hall",2013,"licensed_psych_beds",97
"eastern state hospital",2013,"licensed_psych_beds",323
"ephraim mcdowell reg medical ctr",2013,"licensed_psych_beds",38
"flaget memorial hospital",2013,"licensed_psych_beds",0
"fleming county hospital",2013,"licensed_psych_beds",0
"frankfort regional medical center",2013,"licensed_psych_beds",0
"georgetown community hospital",2013,"licensed_psych_beds",0
"greenview regional hospital",2013,"licensed_psych_beds",0
